,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Poster,Metascore,imdbRating,BoxOffice,Production
11,The Lost City,2022,N/A,25 Mar 2022,92 min,"Action, Adventure, Comedy","Aaron Nee, Adam Nee","Oren Uziel, Dana Fox, Adam Nee","Sandra Bullock, Brad Pitt, Channing Tatum",A reclusive romance novelist on a book tour with her cover model gets swept up in a kidnapping attempt that lands them both in a cutthroat jungle adventure.,English,https://m.media-amazon.com/images/M/MV5BMmIwYzFhODAtY2I1YS00ZDdmLTkyYWQtZjI5NDIwMDc2MjEyXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg,N/A,N/A,N/A,N/A
12,The Duke of Marylebone,2022,N/A,29 Jun 2022,100 min,Comedy,Mitch Riverman,Mitch Riverman,"Ninette Finch, Lily Smith, Mark Joseph","Rupert Siskin, a humble food taster from London, becomes an everyday villain to impress the woman he loves, Lisa. He eventually gets into politics to become a perfect thief.",English,https://m.media-amazon.com/images/M/MV5BODNmMTIxNDQtMmY2MC00OTY1LThkMTktYzdiNDNiNDkxNzI0XkEyXkFqcGdeQXVyMTQ3MjU3MzUx._V1_SX300.jpg,N/A,N/A,N/A,N/A
13,Everything Everywhere All at Once,2022,R,25 Mar 2022,140 min,"Action, Adventure, Comedy","Dan Kwan, Daniel Scheinert","Dan Kwan, Daniel Scheinert","Jenny Slate, Michelle Yeoh, Jamie Lee Curtis","An aging Chinese immigrant is swept up in an insane adventure, where she alone can save the world by exploring other universes connecting with the lives she could have led.",English,https://m.media-amazon.com/images/M/MV5BYjhmNzA0YjItODc3OC00MzdiLThlNDctNmIwODcxNzUzOTQwXkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_SX300.jpg,N/A,N/A,N/A,N/A
14,Morbius,2022,PG-13,01 Apr 2022,108 min,"Action, Adventure, Drama",Daniel Espinosa,"Matt Sazama, Burk Sharpless, Roy Thomas","Jared Leto, Michael Keaton, Adria Arjona","Biochemist Michael Morbius tries to cure himself of a rare blood disease, but he inadvertently infects himself with a form of vampirism instead.",English,https://m.media-amazon.com/images/M/MV5BYjlhNTA3Y2ItYjhiYi00NTBiLTg5MDMtZDJjMDZjNzVjNjJmXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,N/A,N/A,N/A,N/A
15,The Contractor,2022,R,01 Apr 2022,N/A,"Action, Thriller",Tarik Saleh,J.P. Davis,"Chris Pine, Gillian Jacobs, Ben Foster","After being involuntarily discharged from the Marines, James Harper (Pine) joins a paramilitary organization in order to support his family in the only way he knows how.",English,https://m.media-amazon.com/images/M/MV5BODkxZGI4NGQtYWQyNS00NDY0LWJlNTgtNDAyYmMxOTEwZTllXkEyXkFqcGdeQXVyODQ0OTE4Mzg@._V1_SX300.jpg,N/A,N/A,N/A,N/A
16,You Won't Be Alone,2022,R,01 Apr 2022,108 min,"Drama, Horror",Goran Stolevski,Goran Stolevski,"Noomi Rapace, Alice Englert, Anamaria Marinca","In an isolated mountain village in 19th century Macedonia, a young girl is kidnapped and then transformed into a witch by an ancient spirit.",Macedonian,https://m.media-amazon.com/images/M/MV5BMmU2MDkyZWMtYjJmNi00YjE1LWIzODctZjNjZmY0OGMzNzQzXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,75,6.8,N/A,N/A
17,Iris Warriors,2022,N/A,02 Apr 2022,80 min,"Family, Fantasy, Musical",Roydon Turner,"Don Macnab-Stark, Roydon Turner","Jessica Brown Findlay, Cindy Okkers, Sven-Eric Muller","The Iris Warriors have brought light and beauty to the world, but when their bitter mother, Darkness, threatens to destroy them, they must find a way to work together to defeat her and bring colour back to their universe.",English,https://m.media-amazon.com/images/M/MV5BNWE3MjEwYzYtNTYyNC00ZWFiLWI0NGUtZTFkMGIzZjRiYTk0XkEyXkFqcGdeQXVyMjU2MDQ0OTA@._V1_SX300.jpg,N/A,5.1,N/A,N/A
18,Sonic the Hedgehog 2,2022,N/A,08 Apr 2022,N/A,"Animation, Action, Adventure",Jeff Fowler,"Pat Casey, Josh Miller, John Whittington","Ben Schwartz, Idris Elba, Colleen O'Shaughnessey",Sequel to the 2020 live-action feature film 'Sonic the Hedgehog'.,English,https://m.media-amazon.com/images/M/MV5BMzExMWVjODMtYjgzOC00ZDljLTgxMTktYWQ0NGNiOTcxNGYxXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,N/A,N/A,N/A,N/A
19,Ambulance,2022,R,08 Apr 2022,N/A,"Action, Crime, Drama",Michael Bay,"Chris Fedak, Laurits Munch-Petersen, Lars Andreas Pedersen","Eiza González, Jake Gyllenhaal, Devan Chandler Long",Two robbers steal an ambulance after their heist goes awry.,English,https://m.media-amazon.com/images/M/MV5BNWZlZDYzYzctOTg0NC00OWUyLWI3NzgtMWViOTQ0MWIyNWJhXkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_SX300.jpg,N/A,N/A,N/A,N/A
20,The Cow Who Sang a Song Into the Future,2022,N/A,23 Jan 2022,98 min,Drama,Francisca Alegria,"Francisca Alegria, Manuela Infante, Fernanda Urrejola","Mía Maestro, Enzo Ferrada Rosati, Benjamin Soto","Cecilia travels to her father's farm after he has a heart attack. Back in her childhood home, Cecilia is met by her long-deceased mother whose presence brings to life a painful past chorused by the natural world around them.",Spanish,https://m.media-amazon.com/images/M/MV5BMWYzMmM2MWEtYjUwZC00ZTg3LWExOTEtY2RhOTQ4MmE5YTM1XkEyXkFqcGdeQXVyMTMyMDYyNTA0._V1_SX300.jpg,N/A,7.0,N/A,N/A
21,Father Stu,2022,R,13 Apr 2022,N/A,Drama,Rosalind Ross,Rosalind Ross,"Mark Wahlberg, Mel Gibson, Annet Mahendru","Follows the life of Father Stuart Long, a boxer-turned-priest who inspired countless people during his journey from self-destruction to redemption.",English,https://m.media-amazon.com/images/M/MV5BNjBmN2M4MjMtNGM5Ny00MzU2LWIzMjMtZDE4NGMyNzdkYmU2XkEyXkFqcGdeQXVyMjg3NTU2Mzk@._V1_SX300.jpg,N/A,N/A,N/A,N/A
22,Fantastic Beasts: The Secrets of Dumbledore,2022,N/A,15 Apr 2022,N/A,"Adventure, Family, Fantasy",David Yates,"J.K. Rowling, Steve Kloves","Mads Mikkelsen, Ezra Miller, Katherine Waterston",The third installment of the 'Fantastic Beasts and Where to Find Them' series which follows the adventures of Newt Scamander.,English,https://m.media-amazon.com/images/M/MV5BOTNjNWRjZDUtYjU1OC00NGFmLWE2ZDktMzhhYmIwOTU4YjVmXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,N/A,N/A,N/A,N/A
23,The Bad Guys,2022,PG,22 Apr 2022,N/A,"Animation, Adventure, Comedy",Pierre Perifel,"Aaron Blabey, Etan Cohen, Hilary Winston","Sam Rockwell, Awkwafina, Anthony Ramos","Several reformed yet misunderstood criminal animals attempt to become good, with some disastrous results along the way.",English,https://m.media-amazon.com/images/M/MV5BMDhkYmU0MzctMWEzNy00ODg1LWI3ZjAtMGZlZjkzNWVmMzVjXkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_SX300.jpg,N/A,N/A,N/A,N/A
24,The Northman,2022,N/A,22 Apr 2022,N/A,"Action, Adventure, Drama",Robert Eggers,"Robert Eggers, Sjón","Alexander Skarsgård, Nicole Kidman, Claes Bang","From visionary director Robert Eggers comes The Northman, an action-filled epic that follows a young Viking prince on his quest to avenge his father's murder.","English, Norse, Old",https://m.media-amazon.com/images/M/MV5BMDNkMTVlODUtNjBlMi00ZTUyLWI5OTItZTFjMjVlMTA5MTkzXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg,N/A,N/A,N/A,N/A
25,The Unbearable Weight of Massive Talent,2022,N/A,22 Apr 2022,N/A,"Action, Comedy, Crime",Tom Gormican,"Kevin Etten, Tom Gormican","Nicolas Cage, Pedro Pascal, Ike Barinholtz","A cash-strapped Nicolas Cage agrees to make a paid appearance at a billionaire super fan's birthday party, but is really an informant for the CIA since the billionaire fan is a drug kingpin and gets cast in a Tarantino movie.",English,https://m.media-amazon.com/images/M/MV5BN2UxMzI1N2EtNmZkYi00M2RmLTliMDctZTlmN2ZlMGVmMjNmXkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_SX300.jpg,N/A,N/A,N/A,N/A
26,Hatching,2022,N/A,29 Apr 2022,86 min,Horror,Hanna Bergholm,Ilja Rautsi,"Siiri Solalinna, Sophia Heikkilä, Jani Volanen","A young gymnast who tries desperately to please her demanding mother, discovers a strange egg. She hides it and keeps it warm, but when it hatches, what emerges shocks them all.",Finnish,https://m.media-amazon.com/images/M/MV5BMmRkMjYwMmItOTQ5MC00N2M4LWIxMzYtMWM2YTNjMjgyNzcyXkEyXkFqcGdeQXVyMjQxOTg5NjI@._V1_SX300.jpg,75,7.1,N/A,N/A
27,The Vortex Voices,2022,N/A,10 Feb 2022,99 min,Horror,Michael Jason Allen,Michael Jason Allen,"Christine Manola, Mariya Tensina, Corey Busboom","In 1973, Jonah the Earth Prophet is a cult commune leader who communicates the will of the Earth to his followers via voices from the vortex in which their living compound is built on. Members of the ""family"" hope for an afterlife of",English,https://m.media-amazon.com/images/M/MV5BZDFlNGZmZjUtYzI4Zi00Y2U4LTk0YjgtYTE3OWUwOTBmN2IxXkEyXkFqcGdeQXVyMTg0NTUyMjE@._V1_SX300.jpg,N/A,N/A,N/A,N/A
28,Firebird,2022,N/A,N/A,N/A,"Drama, Romance",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
29,Memory,2022,R,29 Apr 2022,N/A,"Action, Thriller",Martin Campbell,"Dario Scardapane, Jef Geeraerts, Carl Joos","Liam Neeson, Monica Bellucci, Ray Stevenson",An assassin-for-hire finds that he's become a target after he refuses to complete a job for a dangerous criminal organization. A remake of the 2003 Belgian film 'The Memory of a Killer'.,English,https://m.media-amazon.com/images/M/MV5BNTI4OTQzMmItOTJiZS00NTc3LTkxNGYtZWQ2NGJiNjQ4NzQ2XkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_SX300.jpg,N/A,N/A,N/A,N/A
30,Doctor Strange in the Multiverse of Madness,2022,N/A,06 May 2022,N/A,"Action, Adventure, Fantasy",Sam Raimi,"Jade Halley Bartlett, Steve Ditko, Stan Lee","Benedict Cumberbatch, Elizabeth Olsen, Rachel McAdams","Dr. Stephen Strange casts a forbidden spell that opens the door to the multiverse, including an alternate version of himself, whose threat to humanity is too great for the combined forces of Strange, Wong, and Wanda Maximoff.",English,https://m.media-amazon.com/images/M/MV5BZDg5ZDg2MWQtM2ExNi00ZjEzLTgzMDQtZmJlYWEwYmM4ODUxXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,N/A,N/A,N/A,N/A
31,What's Happening ... Refugees,2022,N/A,N/A,N/A,Documentary,Ted Kamp,N/A,N/A,N/A,English,N/A,N/A,N/A,N/A,N/A
32,The Twin,2022,N/A,21 Apr 2022,N/A,Horror,Taneli Mustonen,"Aleksi Hyvärinen, Taneli Mustonen","Teresa Palmer, Steven Cree, Barbara Marten",A mother who needs to confront the unbearable truth about her surviving twin son.,English,N/A,N/A,N/A,N/A,N/A
33,Firestarter,2022,R,N/A,N/A,"Drama, Horror, Sci-Fi",Keith Thomas,"Stephen King, Scott Teems","Zac Efron, Gloria Reuben, Ryan Kiera Armstrong",A young girl tries to understand how she mysteriously gained the power to set things on fire with her mind.,English,https://m.media-amazon.com/images/M/MV5BZmMxZTUwMTItNWRiZC00ZTI2LTg2N2MtM2UwMDZiODA1ZmE3XkEyXkFqcGdeQXVyMjY5ODI4NDk@._V1_SX300.jpg,N/A,N/A,N/A,N/A
34,Downton Abbey: A New Era,2022,PG,20 May 2022,N/A,"Drama, Romance",Simon Curtis,Julian Fellowes,"Maggie Smith, Michelle Dockery, Laura Haddock",Follow-up to the 2019 feature film in which the Crawley family and Downton staff received a royal visit from the King and Queen of Great Britain.,English,https://m.media-amazon.com/images/M/MV5BN2VhNGRjZGYtZmFlZS00NWRmLWExOGUtMGU3ZWE2ZGZjNTgzXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,N/A,N/A,N/A,N/A
35,Men,2022,N/A,20 May 2022,N/A,"Drama, Horror, Sci-Fi",Alex Garland,Alex Garland,"Jessie Buckley, Rory Kinnear, Paapa Essiedu",A young woman goes on a solo vacation to the English countryside after the death of her ex-husband.,English,https://m.media-amazon.com/images/M/MV5BMWRjZjJlMmYtZTE1Yy00NjhlLTk3M2ItZTgyNzEyODY5NTdlXkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_SX300.jpg,N/A,N/A,N/A,N/A
36,DC League of Super-Pets,2022,N/A,20 May 2022,N/A,"Animation, Action, Adventure","Jared Stern, Sam Levine","Jared Stern, John Whittington","Dwayne Johnson, Kevin Hart, Vanessa Bayer","Krypto the Super-Dog and Superman are inseparable best friends, sharing the same superpowers and fighting crime side by side in Metropolis. However, Krypto must master his own powers for a rescue mission when Superman is kidnapped.",English,https://m.media-amazon.com/images/M/MV5BYzVlZjk4YzMtZDNhNC00ZjY0LTg5ZmEtNjU1MTJlN2NhY2VlXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_SX300.jpg,N/A,N/A,N/A,N/A
37,Top Gun: Maverick,2022,PG-13,27 May 2022,N/A,"Action, Drama",Joseph Kosinski,"Ehren Kruger, Eric Warren Singer, Christopher McQuarrie","Tom Cruise, Jennifer Connelly, Miles Teller","After more than thirty years of service as one of the Navy's top aviators, Pete Mitchell is where he belongs, pushing the envelope as a courageous test pilot and dodging the advancement in rank that would ground him.",English,https://m.media-amazon.com/images/M/MV5BOGUwZDRjNTYtYjI0Zi00OWZjLTgxZWItZjNiZWEyYThlZTkyXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,N/A,N/A,N/A,N/A
38,The Bob's Burgers Movie,2022,PG-13,27 May 2022,N/A,"Animation, Adventure, Comedy","Loren Bouchard, Bernard Derriman","Loren Bouchard, Jim Dauterive, Nora Smith","H. Jon Benjamin, Kristen Schaal, Dan Mintz",The Belchers' trying to save the restaurant from closing as a sinkhole forms in front of it while the kids try to solve a mystery that could save their family's restaurant.,"English, German",https://m.media-amazon.com/images/M/MV5BYzFhNDNkY2UtYjc3ZS00NzVkLTlhNzEtYmZiZGMzYmRjMjVhXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_SX300.jpg,N/A,N/A,N/A,N/A
39,Terror on the Prairie,2022,N/A,N/A,N/A,Western,Michael Polish,Josiah Nelson,"Gina Carano, Nick Searcy, Samaire Armstrong","On the Montana plains, a frontier woman must protect herself against a ruthless gang of outlaws hell-bent on revenge.",N/A,https://m.media-amazon.com/images/M/MV5BM2JiODIwZjYtYmEwNS00Y2ExLWIyMDAtMTExMzk4YjY5YmMyXkEyXkFqcGdeQXVyMzUzMDQxMzI@._V1_SX300.jpg,N/A,N/A,N/A,N/A
40,Jurassic World Dominion,2022,PG-13,10 Jun 2022,N/A,"Action, Adventure, Sci-Fi",Colin Trevorrow,"Colin Trevorrow, Emily Carmichael, Derek Connolly","Bryce Dallas Howard, Chris Pratt, Dichen Lachman",Plot kept under wraps.,English,https://m.media-amazon.com/images/M/MV5BMjQzZTA2MmEtNDcwYy00ZWE0LWFlODMtOWQ2MzRjNTgyYmVkXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,N/A,N/A,N/A,N/A
41,Lightyear,2022,N/A,17 Jun 2022,N/A,"Animation, Action, Adventure",Angus MacLane,"Pete Docter, Andrew Stanton, John Lasseter","Chris Evans, Taika Waititi, Keke Palmer",The story of Buzz Lightyear and his adventures to infinity and beyond.,English,https://m.media-amazon.com/images/M/MV5BMTg0MzkzMTQtNWRlZS00MGU2LTgwYTktMjkyNTZkZTAzNTQ3XkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_SX300.jpg,N/A,N/A,N/A,N/A
42,Red Elvis: The Cold War Cowboy,2022,N/A,20 Jan 2022,91 min,Documentary,Thomas Latter,N/A,N/A,"Meet Dean Reed, the American popstar who defected to the Soviet Bloc in the '70s and became a superstar. He packs stadiums, preaches Marxism and inspires a generation...until his body is found, drowned, in a lake in East Berlin.",English,https://m.media-amazon.com/images/M/MV5BMmVmZjU0OTctM2IwNy00NTA2LThkMDYtYjUyODdiZmQxOTM3XkEyXkFqcGdeQXVyNzkwNTM4Mzk@._V1_SX300.jpg,N/A,7.5,N/A,N/A
43,Shotgun Wedding,2022,N/A,29 Jun 2022,N/A,"Action, Comedy, Romance",Jason Moore,"Mark Hammer, Elizabeth Meriwether","Jennifer Lopez, Jennifer Coolidge, Josh Duhamel","A couple's extravagant destination wedding is hijacked by criminals. In the process of saving their families, they rediscover why they fell in love in the first place.",English,N/A,N/A,N/A,N/A,N/A
44,Minions 2: The Rise of Gru,2022,PG,01 Jul 2022,90 min,"Animation, Adventure, Comedy","Kyle Balda, Brad Ableson, Jonathan del Val","Brian Lynch, Matthew Fogel, Cinco Paul","Steve Carell, Pierre Coffin, Taraji P. Henson",The untold story of one twelve-year-old's dream to become the world's greatest supervillain.,"English, Vietnamese",https://m.media-amazon.com/images/M/MV5BYjZkNzM0MDItZGQ0Zi00N2MzLTlhM2MtNjJlMTczZDBkNWUxXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg,N/A,N/A,N/A,N/A
45,Thor: Love and Thunder,2022,N/A,08 Jul 2022,N/A,"Action, Adventure, Fantasy",Taika Waititi,"Stan Lee, Jennifer Kaytin Robinson, Taika Waititi","Taika Waititi, Karen Gillan, Natalie Portman",The sequel to Thor: Ragnarok and the fourth movie in the Thor saga.,English,https://m.media-amazon.com/images/M/MV5BMzZjMTIwNjYtYTg0ZS00ZDFjLTk3MDctMTY3ZTgwMjQ4MmFiXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_SX300.jpg,N/A,N/A,N/A,N/A
46,Bullet Train,2022,N/A,15 Jul 2022,N/A,"Action, Thriller",David Leitch,"Kôtarô Isaka, Zak Olkewicz","Sandra Bullock, Brad Pitt, Aaron Taylor-Johnson",Five assassins aboard a fast moving bullet train find out their missions have something in common.,English,https://m.media-amazon.com/images/M/MV5BZDlhMGE4ODYtZDIxZi00NWZhLWIzNmQtOWVkZThlYjc4ZGU0XkEyXkFqcGdeQXVyNjA2ODYyMTk@._V1_SX300.jpg,N/A,N/A,N/A,N/A
47,Mrs Harris Goes to Paris,2022,N/A,06 May 2022,N/A,Drama,Anthony Fabian,"Carroll Cartwright, Anthony Fabian, Paul Gallico","Jason Isaacs, Lucas Bravo, Alba Baptista",A new adaptation of Paul Gallico's much-loved novel about a cleaning lady in 1950s London who falls in love with an haute couture dress by Christian Dior and decides to gamble everything for the sake of this folly.,English,https://m.media-amazon.com/images/M/MV5BMjM1ZjIyYzYtODRhYy00ZTc0LThhZjMtNzhmZGM3OWJkNzFkXkEyXkFqcGdeQXVyMjQ4NjAyOTY@._V1_SX300.jpg,N/A,N/A,N/A,N/A
48,The Wrong Place,2022,N/A,15 Jul 2022,N/A,Thriller,Mike Burns,Bill Lawrence,"Bruce Willis, Ashley Greene, Michael Sirow","A meth amphetamines cook hunts down the former Police chief of a small town in order to silence him before he can deliver eyewitness testimony against his family, but ultimately finds himself up against more than he had bargained for",English,https://m.media-amazon.com/images/M/MV5BZTk1NjNiMjEtMDA3NC00ZTJlLTljYzEtNTVlMmZlZmQ2ZTBiXkEyXkFqcGdeQXVyODQyNDczNTk@._V1_SX300.jpg,N/A,N/A,N/A,N/A
49,Nope,2022,N/A,22 Jul 2022,N/A,Horror,Jordan Peele,Jordan Peele,"Barbie Ferreira, Keke Palmer, Michael Wincott",Plot kept under wraps.,English,https://m.media-amazon.com/images/M/MV5BMGIyNTI3NWItNTJkOS00MGYyLWE4NjgtZDhjMWQ4Y2JkZTU5XkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_SX300.jpg,N/A,N/A,N/A,N/A
50,Where the Crawdads Sing,2022,N/A,22 Jul 2022,N/A,"Drama, Mystery",Olivia Newman,"Lucy Alibar, Delia Owens","David Strathairn, Eric Ladin, Harris Dickinson",A woman who raised herself in the marshes of the deep South becomes a suspect in the murder of a man she was once involved with.,English,https://m.media-amazon.com/images/M/MV5BOGQ4Y2RlOGMtZGUxOC00OGZkLTgxYWMtNmVjMjgwOGYyMjdhXkEyXkFqcGdeQXVyMTMzNzQ4MjA5._V1_SX300.jpg,N/A,N/A,N/A,N/A
51,Blazing Samurai,2022,N/A,22 Jul 2022,N/A,"Animation, Action, Comedy","Mark Koetsier, Rob Minkoff, Chris Bailey","Nate Hopper, Mel Brooks, Andrew Bergman","Ricky Gervais, Samuel L. Jackson, Michelle Yeoh","An action packed animated comedy for all the family inspired by Mel Brooks' timeless classic, Blazing Saddles. Hank, a loveable dog with a head full of dreams about becoming a samurai, sets off in search of his destiny.",English,https://m.media-amazon.com/images/M/MV5BODg0Njc3N2UtY2M5Zi00MjYxLTk2MjEtOGJlNTYzOGMzZjc4XkEyXkFqcGdeQXVyNTU5NzUwNw@@._V1_SX300.jpg,N/A,N/A,N/A,N/A
52,Black Adam,2022,N/A,29 Jul 2022,N/A,"Action, Fantasy, Sci-Fi",Jaume Collet-Serra,"Adam Sztykiel, Rory Haines, Sohrab Noshirvani","Dwayne Johnson, Sarah Shahi, Pierce Brosnan","Plot unknown. A spin-off from 'Shazam!' centering on the film's anti-hero, Black Adam.",English,https://m.media-amazon.com/images/M/MV5BNTAxMGQ2NTQtMDYwMC00NDQ3LTgwYTAtOWYzMjE4OGVkZjk2XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg,N/A,N/A,N/A,N/A
