movie_id,title,movie_rating,release_date,run_time,meta_score,imdb_rating,box_office,director,writer,actor,Drama,Adventure,Action,Comedy,Horror,Biography,Crime,Fantasy,Family,Sci-Fi,Animation,Romance,Music,Western,Thriller,History,Mystery,Sport,Musical,Documentary,Short
20,Stir Crazy,R,1980-12-12,111.0,0.0,6.8,101300000.0,Sidney Poitier,Bruce Jay Friedman,Gene Wilder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Cruising,R,1980-02-15,102.0,0.0,6.5,19814523.0,William Friedkin,William Friedkin,Al Pacino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Heaven's Gate,R,1981-04-24,219.0,0.0,6.8,3484523.0,Michael Cimino,Michael Cimino,Kris Kristofferson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,The Final Countdown,PG,1980-08-01,103.0,0.0,6.7,16647800.0,Don Taylor,Thomas Hunter,Kirk Douglas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Xanadu,PG,1980-08-08,96.0,0.0,5.3,22762571.0,Robert Greenwald,Richard Christian Danus,Olivia Newton-John,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Urban Cowboy,PG,1980-06-06,132.0,0.0,6.4,46918287.0,James Bridges,Aaron Latham,John Travolta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Altered States,R,1980-12-25,102.0,0.0,6.9,19853892.0,Ken Russell,Paddy Chayefsky,William Hurt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Little Darlings,R,1980-03-21,96.0,0.0,6.5,34326249.0,Ron Maxwell,Kimi Peck,Tatum O'Neal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Raise the Titanic,PG,1980-08-01,115.0,0.0,5.0,0.0,Jerry Jameson,Adam Kennedy,Jason Robards,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Brubaker,R,1980-06-20,131.0,0.0,7.2,37121708.0,Stuart Rosenberg,W.D. Richter,Robert Redford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,American Gigolo,R,1980-02-01,117.0,0.0,6.2,22743674.0,Paul Schrader,Paul Schrader,Richard Gere,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,My Bodyguard,PG,1980-09-26,102.0,0.0,7.1,22482952.0,Tony Bill,Alan Ormsby,Chris Makepeace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Prom Night,R,1980-07-18,92.0,0.0,5.4,14796236.0,Paul Lynch,William Gray,Leslie Nielsen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Smokey and the Bandit II,PG,1980-08-15,100.0,0.0,5.3,66132626.0,Hal Needham,Hal Needham,Burt Reynolds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Cattle Annie and Little Britches,PG,1981-04-24,97.0,0.0,6.1,534816.0,Lamont Johnson,David Eyre,Scott Glenn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Seems Like Old Times,PG,1980-12-19,102.0,0.0,6.7,43995918.0,Jay Sandrich,Neil Simon,Goldie Hawn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Private Benjamin,R,1980-10-10,109.0,0.0,6.2,69847348.0,Howard Zieff,Nancy Meyers,Goldie Hawn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,The Hollywood Knights,R,1980-05-30,91.0,0.0,6.3,10000000.0,Floyd Mutrux,Floyd Mutrux,Tony Danza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Motel Hell,R,1980-10-24,101.0,0.0,6.0,6342668.0,Kevin Connor,Robert Jaffe,Rory Calhoun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,The Jazz Singer,PG,1980-12-19,115.0,0.0,5.9,27118000.0,Richard Fleischer,Samson Raphaelson,Laurence Olivier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Coal Miner's Daughter,PG,1980-03-07,124.0,0.0,7.5,67182787.0,Michael Apted,Thomas Rickman,Sissy Spacek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,The Watcher in the Woods,PG,1981-10-09,84.0,0.0,6.3,5000000.0,John Hough,Brian Clemens,Bette Davis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Breaker Morant,PG,1980-07-03,107.0,0.0,7.9,0.0,Bruce Beresford,Jonathan Hardy,Edward Woodward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,The Stunt Man,R,1980-06-27,131.0,0.0,7.1,7063886.0,Richard Rush,Lawrence B. Marcus,Peter O'Toole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Where the Buffalo Roam,R,1980-04-25,99.0,0.0,6.6,6659377.0,Art Linson,Hunter S. Thompson,Peter Boyle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,The Awakening,R,1980-10-31,101.0,0.0,4.8,8415112.0,Mike Newell,Allan Scott,Charlton Heston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Cheech and Chong's Next Movie,R,1980-07-18,99.0,0.0,6.1,41675194.0,Tommy Chong,Tommy Chong,Cheech Marin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,The Island,R,1980-06-13,109.0,0.0,5.3,15716828.0,Michael Ritchie,Peter Benchley,Michael Caine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,The Boogey Man,R,1980-11-07,82.0,0.0,4.6,0.0,Ulli Lommel,Ulli Lommel,Suzanna Love,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,The Nude Bomb,PG,1980-05-09,94.0,0.0,5.1,14662035.0,Clive Donner,Mel Brooks,Don Adams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Lion of the Desert,PG,1981-05-16,173.0,0.0,8.3,0.0,Moustapha Akkad,David Butler,Anthony Quinn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Stardust Memories,PG,1980-09-26,89.0,0.0,7.3,10389003.0,Woody Allen,Woody Allen,Woody Allen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Melvin and Howard,R,1980-09-19,95.0,0.0,6.8,4309490.0,Jonathan Demme,Bo Goldman,Paul Le Mat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Can't Stop the Music,PG,1980-06-20,124.0,0.0,4.2,0.0,Nancy Walker,Bronte Woodard,Ray Simpson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Bronco Billy,PG,1980-06-11,116.0,0.0,6.1,24265659.0,Clint Eastwood,Dennis Hackin,Clint Eastwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,City of Women,R,1981-04-08,139.0,0.0,7.0,12516.0,Federico Fellini,Federico Fellini,Marcello Mastroianni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,The Private Eyes,PG,1980-11-21,91.0,0.0,6.7,0.0,Lang Elliott,Tim Conway,Tim Conway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,When Time Ran Out...,PG,1980-03-28,121.0,0.0,4.6,3763988.0,James Goldstone,Gordon Thomas,Paul Newman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Oh Heavenly Dog,PG,1980-07-11,103.0,0.0,5.4,6216067.0,Joe Camp,Rod Browning,Chevy Chase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,The Octagon,R,1980-08-15,103.0,0.0,5.1,18971000.0,Eric Karson,Leigh Chapman,Chuck Norris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Hangar 18,PG,1981-03-13,97.0,0.0,5.3,0.0,James L. Conway,Ken Pettus,Darren McGavin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Herbie Goes Bananas,G,1980-06-25,100.0,0.0,5.0,18000000.0,Vincent McEveety,Don Tait,Charles Martin Smith,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,The Competition,PG,1980-12-03,123.0,0.0,6.7,14287755.0,Joel Oliansky,Joel Oliansky,Richard Dreyfuss,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,It's My Turn,R,1981-02-05,91.0,0.0,5.5,0.0,Claudia Weill,Eleanor Bergstein,Jill Clayburgh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Honeysuckle Rose,PG,1980-07-18,119.0,0.0,6.3,17815212.0,Jerry Schatzberg,Gösta Stevens,Willie Nelson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Resurrection,PG,1980-09-26,103.0,0.0,7.3,3910019.0,Daniel Petrie,Lewis John Carlino,Ellen Burstyn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Fatso,PG,1980-02-01,93.0,0.0,6.3,7653061.0,Anne Bancroft,Anne Bancroft,Dom DeLuise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Moscow Does Not Believe in Tears,PG,1980-02-11,150.0,0.0,8.1,0.0,Vladimir Menshov,Valentin Chernykh,Vera Alentova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,The Fiendish Plot of Dr. Fu Manchu,PG,1980-08-08,100.0,0.0,5.1,10697276.0,Piers Haggard,Rudy Dochtermann,Peter Sellers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Serial,R,1980-03-28,86.0,0.0,6.6,9870727.0,Bill Persky,Cyra McFadden,Martin Mull,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Hero at Large,PG,1980-02-08,98.0,0.0,6.0,15934737.0,Martin Davidson,AJ Carothers,John Ritter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Wholly Moses!,PG,1980-06-13,103.0,0.0,4.7,14155617.0,Gary Weis,Guy Thomas,Dudley Moore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,"Bon Voyage, Charlie Brown (and Don't Come Back!!)",G,1980-05-30,75.0,0.0,7.3,2013193.0,Bill Melendez,Charles M. Schulz,Scott Beach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,In God We Trust (or Gimme That Prime Time Religion),PG,1980-09-26,97.0,0.0,5.5,5215015.0,Marty Feldman,Marty Feldman,Marty Feldman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Roadie,PG,1980-06-13,106.0,0.0,5.2,4226370.0,Alan Rudolph,Big Boy Medlin,Meat Loaf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Just Tell Me What You Want,R,1980-01-18,112.0,0.0,5.5,2086905.0,Sidney Lumet,Jay Presson Allen,Ali MacGraw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,The Last Flight of Noah's Ark,G,1980-06-25,97.0,0.0,5.8,11000000.0,Charles Jarrott,Ernest K. Gann,Elliott Gould,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Little Miss Marker,PG,1980-03-21,103.0,0.0,6.3,6321392.0,Walter Bernstein,Damon Runyon,Walter Matthau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Willie & Phil,R,1980-08-15,115.0,0.0,5.9,4400000.0,Paul Mazursky,Jean Gruault,Michael Ontkean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Babylon,,1980-11-01,95.0,0.0,7.4,109749.0,Franco Rosso,Franco Rosso,David N. Haynes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Windwalker,PG,1983-11-18,108.0,0.0,6.9,0.0,Kieth Merrill,Ray Goldrup,Trevor Howard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Phobia,R,1980-09-09,94.0,0.0,4.0,59167.0,John Huston,Gary Sherman,Paul Michael Glaser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Windows,R,1980-01-18,96.0,0.0,4.8,2128395.0,Gordon Willis,Barry Siegel,Talia Shire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Loving Couples,PG,1980-10-24,97.0,0.0,5.2,2806659.0,Jack Smight,Martin Donovan,Shirley MacLaine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,The King and the Mockingbird,Not Rated,1980-03-19,83.0,0.0,7.9,167451.0,Paul Grimault,Hans Christian Andersen,Jean Martin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,"Oh, God! Book II",PG,1980-10-03,94.0,0.0,5.2,14504277.0,Gilbert Cates,Josh Greenfeld,George Burns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,"Those Lips, Those Eyes",R,1980-08-15,105.0,0.0,6.5,804713.0,Michael Pressman,David Shaber,Frank Langella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,La Cage aux Folles II,R,1981-02-15,102.0,0.0,5.8,6950125.0,Édouard Molinaro,Jean Poiret,Michel Serrault,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,The Gong Show Movie,R,1980-05-23,89.0,0.0,4.3,6621520.0,Chuck Barris,Chuck Barris,Chuck Barris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Gilda Live,R,1980-03-28,96.0,0.0,6.8,2261507.0,Mike Nichols,Anne Beatts,Gilda Radner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Why Would I Lie?,PG,1980-08-08,105.0,0.0,6.5,1175855.0,Larry Peerce,Hollis Hodges,Treat Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,First Family,R,1980-12-25,97.0,0.0,4.3,15198912.0,Buck Henry,Buck Henry,Bob Newhart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Mantis Fist Fighter,,1982-07-09,89.0,0.0,6.7,0.0,Wing-Cho Yip,Hsin-Yi Chang,Ka-Yan Leung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Indiana Jones and the Raiders of the Lost Ark,PG,1981-06-12,115.0,0.0,8.4,389925971.0,Steven Spielberg,Lawrence Kasdan,Harrison Ford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Body Heat,R,1981-08-28,113.0,0.0,7.4,24058838.0,Lawrence Kasdan,Lawrence Kasdan,William Hurt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,An American Werewolf in London,R,1981-08-21,97.0,0.0,7.5,30669378.0,John Landis,John Landis,David Naughton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Escape from New York,R,1981-07-10,99.0,0.0,7.2,25244626.0,John Carpenter,John Carpenter,Kurt Russell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,The Evil Dead,NC-17,1983-04-15,85.0,0.0,7.5,2956630.0,Sam Raimi,Sam Raimi,Bruce Campbell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Porky's,R,1982-03-19,94.0,0.0,6.2,111289673.0,Bob Clark,Bob Clark,Dan Monahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Blow Out,R,1981-07-24,108.0,0.0,7.4,12000000.0,Brian De Palma,Brian De Palma,John Travolta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,Clash of the Titans,PG,1981-06-12,118.0,0.0,6.9,41092328.0,Desmond Davis,Beverley Cross,Laurence Olivier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Excalibur,R,1981-04-10,140.0,0.0,7.4,34971136.0,John Boorman,Thomas Malory,Nigel Terry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Mad Max 2,R,1982-05-21,96.0,0.0,7.6,23668369.0,George Miller,Terry Hayes,Mel Gibson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Das Boot,,1982-02-10,149.0,0.0,8.3,11487676.0,Wolfgang Petersen,Wolfgang Petersen,Jürgen Prochnow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Stripes,R,1981-06-26,106.0,0.0,6.9,85297000.0,Ivan Reitman,Len Blum,Bill Murray,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Possession,R,1983-10-28,124.0,0.0,7.4,1113538.0,Andrzej Zulawski,Andrzej Zulawski,Isabelle Adjani,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,The Cannonball Run,PG,1981-06-19,95.0,0.0,6.2,72179579.0,Hal Needham,Brock Yates,Burt Reynolds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Thief,R,1981-03-27,123.0,0.0,7.4,11492915.0,Michael Mann,Frank Hohimer,James Caan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,Endless Love,R,1981-07-17,116.0,0.0,4.9,32492674.0,Franco Zeffirelli,Scott Spencer,Brooke Shields,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Time Bandits,PG,1981-11-06,110.0,0.0,7.0,42368025.0,Terry Gilliam,Michael Palin,Sean Connery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,The Four Seasons,PG,1981-05-22,107.0,0.0,6.8,50427646.0,Alan Alda,Alan Alda,Alan Alda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,Friday the 13th Part 2,R,1981-05-01,87.0,0.0,6.1,21722776.0,Steve Miner,Ron Kurz,Betsy Palmer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,Scanners,R,1981-01-14,103.0,0.0,6.8,14225876.0,David Cronenberg,David Cronenberg,Jennifer O'Neill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,For Your Eyes Only,PG,1981-06-26,127.0,0.0,6.7,54813222.0,John Glen,Richard Maibaum,Roger Moore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Halloween II,R,1981-10-30,92.0,0.0,6.5,25533818.0,Rick Rosenthal,John Carpenter,Jamie Lee Curtis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Taps,PG,1981-12-25,126.0,0.0,6.8,35856053.0,Harold Becker,Darryl Ponicsan,George C. Scott,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Reds,PG,1981-12-25,195.0,0.0,7.3,40382659.0,Warren Beatty,Warren Beatty,Warren Beatty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,On Golden Pond,PG,1982-02-12,109.0,0.0,7.6,119285432.0,Mark Rydell,Ernest Thompson,Katharine Hepburn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,The Fox and the Hound,G,1981-07-10,83.0,0.0,7.3,63456988.0,Directors,Daniel P. Mannix,Mickey Rooney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Chariots of Fire,PG,1982-04-09,125.0,0.0,7.2,59303359.0,Hugh Hudson,Colin Welland,Ben Cross,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Absence of Malice,PG,1981-12-18,116.0,0.0,6.9,40716963.0,Sydney Pollack,Kurt Luedtke,Paul Newman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,Tarzan the Ape Man,Approved,1981-07-24,115.0,0.0,3.4,36565280.0,John Derek,Tom Rowe,Bo Derek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Victory,PG,1981-07-31,116.0,0.0,6.7,10853418.0,John Huston,Yabo Yablonsky,Michael Caine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Arthur,PG,1981-07-17,97.0,0.0,6.9,95461682.0,Steve Gordon,Steve Gordon,Dudley Moore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,My Dinner with Andre,PG,1981-10-11,110.0,0.0,7.8,5073.0,Louis Malle,Wallace Shawn,Andre Gregory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,Caveman,PG,1981-04-17,91.0,0.0,5.8,15965924.0,Carl Gottlieb,Rudy De Luca,Ringo Starr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,Dead & Buried,R,1981-10-09,94.0,0.0,6.6,0.0,Gary Sherman,Jeff Millar,James Farentino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,History of the World: Part I,R,1981-06-12,92.0,0.0,6.9,31672907.0,Mel Brooks,Mel Brooks,Mel Brooks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,The Howling,R,1981-04-10,91.0,0.0,6.6,17985893.0,Joe Dante,Gary Brandner,Dee Wallace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,Dragonslayer,PG,1981-06-26,109.0,0.0,6.7,14110013.0,Matthew Robbins,Hal Barwood,Peter MacNicol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,Cutter's Way,R,1982-02-10,109.0,0.0,6.9,1752634.0,Ivan Passer,Newton Thornburg,Jeff Bridges,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,Quest for Fire,R,1982-02-12,100.0,0.0,7.3,20962615.0,Jean-Jacques Annaud,Gérard Brach,Everett McGill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
